Position	iESk_ind1	iESk_ind2	iESk_ind3	iESk_ind4	iESk_ind5	
13233.000000	48.500000	48.500000	0.000000	645.250000	3789.000000	
13621.000000	0.000000	0.000000	0.000000	1290.500000	7578.000000	
18007.000000	731.166667	731.166667	0.000000	0.000000	5052.000000	
18008.000000	0.000000	0.000000	0.000000	0.000000	15156.000000	
18026.000000	45.250000	45.250000	45.250000	0.000000	3789.000000	
18370.000000	0.000000	0.000000	0.000000	0.000000	15156.000000	
18485.000000	783.200000	783.200000	1863.900000	1610.700000	3031.200000	
26202.000000	0.000000	0.000000	3106.500000	2684.500000	5052.000000	
26204.000000	1.100000	1.100000	1863.900000	1610.700000	3031.200000	
26213.000000	0.000000	0.000000	3106.500000	2684.500000	5052.000000	
26248.000000	50.100000	50.100000	1863.900000	1610.700000	3031.200000	
26714.000000	0.000000	0.000000	4659.750000	0.000000	7578.000000	
26730.000000	4.875000	4.875000	2329.875000	0.000000	3789.000000	
26753.000000	0.000000	0.000000	3106.500000	549.166667	5052.000000	
27025.000000	35.200000	35.200000	1863.900000	329.500000	3031.200000	
27105.000000	0.000000	0.000000	3106.500000	549.166667	5052.000000	
28389.000000	160.500000	160.500000	0.000000	411.875000	3789.000000	
28423.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
28449.000000	2.250000	2.250000	0.000000	652.750000	2.250000	
28467.000000	0.000000	0.000000	1301.000000	1305.500000	0.000000	
28479.000000	2.500000	2.500000	524.400000	526.200000	618.800000	
28492.000000	0.000000	0.000000	874.000000	877.000000	1031.333333	
30829.000000	255.500000	255.500000	524.400000	526.200000	618.800000	
31047.000000	0.000000	0.000000	874.000000	877.000000	1031.333333	
31060.000000	5.300000	5.300000	524.400000	526.200000	618.800000	
31100.000000	0.000000	0.000000	0.000000	0.000000	3088.000000	
31516.000000	58.250000	58.250000	0.000000	64.750000	772.000000	
31566.000000	0.000000	0.000000	0.000000	129.500000	1544.000000	
31567.000000	0.125000	0.125000	0.000000	64.750000	772.000000	
31569.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
31585.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35348.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35349.000000	289.666667	289.666667	0.000000	0.000000	4857.333333	
37087.000000	0.000000	0.000000	0.000000	467.000000	7286.000000	
37092.000000	0.900000	0.900000	5.400000	186.800000	2914.400000	
37096.000000	0.000000	0.000000	9.000000	311.333333	4857.333333	
37137.000000	8.875000	8.875000	0.000000	233.500000	3643.000000	
37167.000000	0.000000	0.000000	6462.500000	0.000000	7325.000000	
49918.000000	1275.400000	1275.400000	2586.200000	2094.900000	2930.000000	
49921.000000	0.000000	0.000000	4310.333333	3491.500000	4883.333333	
50077.000000	21.000000	21.000000	3229.000000	2618.625000	0.000000	
50089.000000	0.000000	0.000000	0.000000	2049.500000	844.000000	
51708.000000	167.600000	167.600000	167.600000	819.800000	337.600000	
51765.000000	0.000000	0.000000	0.000000	2049.500000	844.000000	
51769.000000	1.000000	1.000000	0.000000	1024.750000	422.000000	
51773.000000	0.000000	0.000000	0.000000	4099.000000	0.000000	
51776.000000	280.500000	280.500000	0.000000	1024.750000	280.500000	
54017.000000	0.000000	0.000000	0.000000	4099.000000	0.000000	
54341.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
54380.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
54487.000000	10.500000	10.500000	66.750000	0.000000	1028.500000	
54571.000000	0.000000	0.000000	133.500000	0.000000	2057.000000	
54937.000000	63.500000	63.500000	0.000000	0.000000	1371.333333	
54952.000000	0.000000	0.000000	0.000000	1828.250000	2057.000000	
55097.000000	22.000000	22.000000	0.000000	914.125000	1028.500000	
55128.000000	0.000000	0.000000	0.000000	1828.250000	2057.000000	
56327.000000	236.375000	236.375000	0.000000	914.125000	1028.500000	
57019.000000	0.000000	0.000000	0.000000	1828.250000	2057.000000	
57836.000000	103.500000	103.500000	0.000000	914.125000	1028.500000	
57847.000000	0.000000	0.000000	127.500000	1218.833333	1371.333333	
